,MAE
664,0.7438234
665,0.7439443
666,0.744006
667,0.74405277
668,0.74406666
669,0.74408275
670,0.74413055
671,0.7441691
672,0.74421084
673,0.7442153
674,0.7442338
675,0.7443794
676,0.7444144
677,0.7444614
678,0.74448663
679,0.7445086
680,0.74451023
681,0.7445491
682,0.7445909
683,0.7445972
684,0.7446005
685,0.7446311
686,0.74465555
687,0.74466836
688,0.74475306
689,0.7447845
690,0.744811
691,0.7448246
692,0.74487936
693,0.74489206
694,0.7449125
695,0.7449441
696,0.74499226
697,0.7450013
698,0.7450123
699,0.7450278
700,0.7450466
701,0.7450554
702,0.7450567
703,0.7451239
704,0.7451391
705,0.74517876
706,0.74518836
707,0.74521536
708,0.74535036
709,0.7454002
710,0.7454449
711,0.7454651
712,0.7454964
713,0.74552184
714,0.7455227
715,0.7455239
716,0.7455394
717,0.74563926
718,0.7456672
719,0.7456996
720,0.74570924
721,0.74570954
722,0.74594945
723,0.74596095
724,0.7459675
725,0.7459766
726,0.7460249
727,0.74608994
728,0.74611187
729,0.74613404
730,0.74614376
731,0.7462049
732,0.74626946
733,0.74630666
734,0.7463771
735,0.74638695
736,0.74640375
737,0.7464152
738,0.74643743
739,0.7464483
740,0.7465042
741,0.74658006
742,0.74659395
743,0.746607
744,0.7466417
745,0.7466843
746,0.74677575
747,0.74685615
748,0.74688905
749,0.74699473
750,0.74699634
751,0.7470354
752,0.7470363
753,0.7470504
754,0.74708927
755,0.7471229
756,0.7471832
757,0.74718744
758,0.74718815
759,0.74719185
760,0.74722207
761,0.74725515
762,0.74730647
763,0.7473422
764,0.7474353
765,0.74747896
766,0.7475659
767,0.74760264
768,0.74760383
769,0.7476099
770,0.7476459
771,0.7476836
772,0.7477261
773,0.7477447
774,0.7477565
775,0.74779034
776,0.7478055
777,0.74781865
778,0.7478544
779,0.74786913
780,0.7478826
781,0.7478898
782,0.7479286
783,0.74794894
784,0.747968
785,0.7480125
786,0.748105
787,0.74810755
788,0.74811614
789,0.7482477
790,0.7482611
791,0.74826336
792,0.7482798
793,0.7482842
794,0.7482935
795,0.74830526
796,0.74844074
797,0.74845237
798,0.748462
799,0.74851084
800,0.7485182
801,0.7485605
802,0.74858916
803,0.7485972
804,0.7486438
805,0.7487255
806,0.7487551
807,0.74877286
808,0.7487755
809,0.74878085
810,0.74883497
811,0.7488576
812,0.7488687
813,0.7488796
814,0.74890524
815,0.74891216
816,0.7489386
817,0.74894357
818,0.7489449
819,0.7489581
820,0.7489586
821,0.7489672
822,0.74897206
823,0.7489843
824,0.7490291
825,0.74903506
826,0.7490442
827,0.74908686
828,0.7491231
829,0.7491922
830,0.74920326
831,0.7492218
832,0.74922395
833,0.7492407
834,0.74925315
835,0.7492536
836,0.74927217
837,0.7492765
838,0.7493061
839,0.74933654
840,0.7493427
841,0.7493428
842,0.749349
843,0.7493703
844,0.7493707
845,0.74937266
846,0.74938196
847,0.7493825
848,0.749403
849,0.7494279
850,0.7494454
851,0.7494502
852,0.7495058
853,0.74951345
854,0.7495196
855,0.7495321
856,0.74954164
857,0.74955153
858,0.74955815
859,0.7496054
860,0.74970955
861,0.74972486
862,0.74973464
863,0.74974334
864,0.749754
865,0.74978733
866,0.74983793
867,0.74987465
868,0.74987566
869,0.74993
870,0.7500006
871,0.7500097
872,0.75004095
873,0.7500425
874,0.75005263
875,0.75006497
876,0.7500917
877,0.7501208
878,0.75013405
879,0.7501622
880,0.7501697
881,0.7501776
882,0.7501824
883,0.75019586
884,0.7501972
885,0.75019795
886,0.75021785
887,0.750254
888,0.7502959
889,0.75029683
890,0.75034356
891,0.7503515
892,0.75035506
893,0.75041145
894,0.75045526
895,0.7504558
896,0.7504916
897,0.75050426
898,0.7505049
899,0.75050974
900,0.7505221
901,0.7505228
902,0.75052816
903,0.7505437
904,0.75061387
905,0.7506148
906,0.75063246
907,0.7506916
908,0.75073665
909,0.7507582
910,0.75076574
911,0.7507903
912,0.7508378
913,0.75087714
914,0.75088537
915,0.75088626
916,0.75088763
917,0.75090224
918,0.7509056
919,0.750925
920,0.7509337
921,0.750995
922,0.75100666
923,0.75101525
924,0.75102705
925,0.75102735
926,0.75106347
927,0.7510646
928,0.7510741
929,0.7510772
930,0.75107944
931,0.7510799
932,0.7510915
933,0.7511159
934,0.75112104
935,0.7511461
936,0.75117904
937,0.7511941
938,0.751197
939,0.75123644
940,0.75124556
941,0.75125986
942,0.7512752
943,0.75128543
944,0.7512963
945,0.75132257
946,0.75132734
947,0.75133866
948,0.751348
949,0.75135124
950,0.75135195
951,0.75135607
952,0.75136685
953,0.75137335
954,0.7513758
955,0.75138867
956,0.75140417
957,0.751412
958,0.75141484
959,0.75141627
960,0.75142896
961,0.7514582
962,0.7514639
963,0.75148135
964,0.7515213
965,0.75152487
966,0.75154555
967,0.7515877
968,0.7516294
969,0.75163233
970,0.75163925
971,0.751656
972,0.7516779
973,0.7516795
974,0.75169706
975,0.75171626
976,0.7517405
977,0.751742
978,0.75180626
979,0.7518385
980,0.7518726
981,0.7518726
982,0.75188893
983,0.75189525
984,0.7519126
985,0.75191706
986,0.75191724
987,0.75193894
988,0.75193983
989,0.75194347
990,0.7519481
991,0.7519674
992,0.75196975
993,0.7519789
994,0.75200254
995,0.75200427
996,0.75203353
997,0.7520745
998,0.7520906
999,0.7520953
1000,0.75209695
1001,0.7521618
1002,0.75217575
1003,0.7522053
1004,0.7522086
1005,0.75221586
1006,0.7522274
1007,0.7522287
1008,0.7522384
1009,0.7522406
1010,0.75225174
1011,0.7522602
1012,0.7522603
1013,0.75229293
1014,0.7522988
1015,0.75230664
1016,0.75230706
1017,0.7523187
1018,0.75234723
1019,0.75235486
1020,0.7523691
1021,0.7523855
1022,0.7523882
1023,0.7524257
1024,0.7524265
1025,0.7524819
1026,0.75248516
1027,0.7525125
1028,0.7525903
1029,0.7525907
1030,0.7525984
1031,0.7526113
1032,0.752623
1033,0.7526332
1034,0.75263536
1035,0.75264144
1036,0.75266004
1037,0.7526783
1038,0.752697
1039,0.75270146
1040,0.7527074
1041,0.75271827
1042,0.75276226
1043,0.7527659
1044,0.7528336
1045,0.7528337
1046,0.7528539
1047,0.75285447
1048,0.7528819
1049,0.7529109
1050,0.75296557
1051,0.7530252
1052,0.7530331
1053,0.75303334
1054,0.75304925
1055,0.7530972
1056,0.753099
1057,0.75311726
1058,0.7531234
1059,0.75313675
1060,0.7531491
1061,0.7531633
1062,0.7531638
1063,0.7531801
1064,0.7532189
1065,0.7532192
1066,0.7532246
1067,0.75322974
1068,0.7532467
