,MAE
586,0.19025898
587,0.19025898
588,0.19025898
589,0.19025898
590,0.19025898
591,0.19025898
592,0.19025898
593,0.19025898
594,0.19025898
595,0.19025898
596,0.19025898
597,0.19025898
598,0.19025898
599,0.19025898
600,0.19025898
601,0.19025898
602,0.19025898
603,0.19025898
604,0.19025898
605,0.19025898
606,0.19025898
607,0.19025898
608,0.19025898
609,0.19025898
610,0.19025898
611,0.19025898
612,0.19025898
613,0.19025898
614,0.19025898
615,0.19025898
616,0.19025898
617,0.19025898
618,0.19025898
619,0.19025898
620,0.19025898
621,0.19025898
622,0.19025898
623,0.19025898
624,0.19025898
625,0.19025898
626,0.19025898
627,0.19025898
628,0.19025898
629,0.19025898
630,0.19025898
631,0.19025898
632,0.19025898
633,0.19025898
634,0.19025898
635,0.19025898
636,0.19025898
637,0.19025898
638,0.19025898
639,0.19025898
640,0.19025898
641,0.19025898
642,0.19025898
643,0.19025898
644,0.19025898
645,0.19025898
646,0.19025898
647,0.19025898
648,0.19025898
649,0.19025898
650,0.19025898
651,0.19025898
652,0.19025898
653,0.19025898
654,0.19025898
655,0.19025898
656,0.19025898
657,0.19025898
658,0.19025898
659,0.19025898
660,0.19025898
661,0.19025898
662,0.19025898
663,0.19025898
664,0.19025898
665,0.19025898
666,0.19025898
667,0.19025898
668,0.19025898
669,0.19025898
670,0.19025898
671,0.19025898
672,0.19025898
673,0.19025898
674,0.19025898
675,0.19025898
676,0.19025898
677,0.19025898
678,0.19025898
679,0.19025898
680,0.19025898
681,0.19025898
682,0.19025898
683,0.19025898
684,0.19025898
685,0.19025898
686,0.19025898
687,0.19025898
688,0.19025898
689,0.19025898
690,0.19025898
691,0.19025898
692,0.19025898
693,0.19025898
694,0.19025898
695,0.19025898
696,0.19025898
697,0.19025898
698,0.19025898
699,0.19025898
700,0.19025898
701,0.19025898
702,0.19025898
703,0.1939354
704,0.1939354
705,0.19915015
706,0.2139082
707,0.2139082
708,0.2139082
709,0.2139082
710,0.2139082
711,0.2139082
712,0.2139082
713,0.2139082
714,0.21526718
715,0.2178297
716,0.24724102
717,0.24724102
718,0.24724102
719,0.24724102
720,0.24724102
721,0.24724102
722,0.24724102
723,0.24724102
724,0.24724102
725,0.24724102
726,0.24724102
727,0.24724102
728,0.24724102
729,0.24724102
730,0.24724102
731,0.24724102
732,0.24724102
733,0.25275904
734,0.25275904
735,0.25275904
736,0.25275904
737,0.25275904
738,0.25275904
739,0.25275904
740,0.25275904
741,0.25275904
742,0.25275904
743,0.25275904
744,0.25275904
745,0.25275904
746,0.25275904
747,0.25275904
748,0.25275904
749,0.25275904
750,0.25275904
751,0.25275904
752,0.25275904
753,0.25275904
754,0.25275904
755,0.25275904
756,0.25275904
757,0.25275904
758,0.25275904
759,0.25275904
760,0.25275904
761,0.25275904
762,0.25275904
763,0.25275904
764,0.25275904
765,0.25275904
766,0.25275904
767,0.25275904
768,0.25275904
769,0.25275904
770,0.25275904
771,0.25275904
772,0.25275904
773,0.25275904
774,0.25275904
775,0.25275904
776,0.25275904
777,0.25275904
778,0.25275904
779,0.25275904
780,0.25275904
781,0.25275904
782,0.25275904
783,0.25275904
784,0.25275904
785,0.25275904
786,0.25275904
787,0.25275904
788,0.25275904
789,0.25275904
790,0.25275904
791,0.25275904
792,0.25275904
793,0.25275904
794,0.25275904
795,0.25275904
796,0.25275904
797,0.25275904
798,0.25275904
799,0.25275904
800,0.25275904
801,0.25275904
802,0.25275904
803,0.25275904
804,0.25275904
805,0.25275904
806,0.25275904
807,0.25275904
808,0.25275904
809,0.25275904
810,0.25275904
811,0.25275904
812,0.25275904
813,0.25275904
814,0.25275904
815,0.25275904
816,0.25275904
817,0.25275904
818,0.25275904
819,0.25275904
