,MAE
1023,0.24274889
1024,0.24276774
1025,0.24277622
1026,0.24278978
1027,0.24281193
1028,0.24281397
1029,0.24283402
1030,0.24286321
1031,0.24289913
1032,0.24294983
1033,0.2429843
1034,0.24305306
1035,0.2430723
1036,0.2430882
1037,0.24311818
1038,0.24313404
1039,0.24314502
1040,0.24316213
1041,0.24316655
1042,0.2431859
1043,0.24319147
1044,0.24328783
1045,0.2433026
1046,0.2433033
1047,0.24331747
1048,0.2433435
1049,0.2433612
1050,0.24336775
1051,0.24337569
1052,0.2433776
1053,0.24338776
1054,0.24344099
1055,0.24344592
1056,0.24347325
1057,0.2434787
1058,0.24351363
1059,0.24351537
1060,0.24352922
1061,0.24353324
1062,0.24356294
1063,0.24361049
1064,0.24367918
1065,0.24371855
1066,0.24376854
1067,0.24377525
1068,0.2438131
1069,0.2438238
1070,0.24386257
1071,0.24386343
1072,0.24389417
1073,0.24392787
1074,0.24393721
1075,0.24394825
1076,0.24398941
1077,0.2440223
1078,0.24404354
1079,0.24405831
1080,0.24405968
1081,0.2440755
1082,0.24408436
1083,0.24408469
1084,0.24409002
1085,0.2441026
1086,0.24411315
1087,0.2441391
1088,0.24416366
1089,0.24416652
1090,0.24418467
1091,0.24418633
1092,0.24421737
1093,0.24422085
1094,0.24422841
1095,0.24423553
1096,0.24425729
1097,0.24427128
1098,0.24431734
1099,0.244355
1100,0.24437156
1101,0.24438207
1102,0.24439707
1103,0.24441195
1104,0.24446712
1105,0.24448735
1106,0.24451062
1107,0.2445107
1108,0.24452952
1109,0.24453005
1110,0.24453475
1111,0.24456823
1112,0.24458103
1113,0.24461159
1114,0.24464889
1115,0.2446501
1116,0.2446665
1117,0.2446714
1118,0.24469467
1119,0.24471046
1120,0.24475041
1121,0.24477457
1122,0.24478847
1123,0.24479207
1124,0.24479847
1125,0.24481393
1126,0.24483973
1127,0.24486288
1128,0.24487041
1129,0.24488476
1130,0.24489772
1131,0.24490088
1132,0.2449045
1133,0.24490643
1134,0.24491116
1135,0.24491781
1136,0.24493082
1137,0.24498914
1138,0.2449985
1139,0.24500224
1140,0.24503946
1141,0.24504271
1142,0.24504934
1143,0.24509524
1144,0.2451093
1145,0.24511842
1146,0.24513385
1147,0.24517126
1148,0.24520819
1149,0.24528895
1150,0.2452971
1151,0.24530667
1152,0.24531679
1153,0.2453441
1154,0.24534774
1155,0.24536227
1156,0.24537544
1157,0.2453931
1158,0.24541788
1159,0.24541956
1160,0.24542466
1161,0.24542633
1162,0.24545065
1163,0.24546593
1164,0.24547394
1165,0.24548955
1166,0.24552566
1167,0.24555393
1168,0.24556808
1169,0.24558403
1170,0.24559933
1171,0.24562916
1172,0.245633
1173,0.24564767
1174,0.24564868
1175,0.24566993
1176,0.24569164
1177,0.2457052
1178,0.24571761
1179,0.24571863
1180,0.24573945
1181,0.24574488
1182,0.24574777
1183,0.24576314
1184,0.24577463
1185,0.24581234
1186,0.24581616
1187,0.24583386
1188,0.24585491
1189,0.2458601
1190,0.2458649
1191,0.24589443
1192,0.24589822
1193,0.24592488
1194,0.24592532
1195,0.24593246
1196,0.24594176
1197,0.24594401
1198,0.24595952
1199,0.24596378
1200,0.2459775
1201,0.24598916
1202,0.24599014
1203,0.24600463
1204,0.24601477
1205,0.24601977
1206,0.24603058
1207,0.24611478
1208,0.24611764
1209,0.2461251
1210,0.24613498
1211,0.24618345
1212,0.24618551
1213,0.24618845
1214,0.24621284
1215,0.24623752
1216,0.24626845
1217,0.24626946
1218,0.24629125
1219,0.24631372
1220,0.24632631
1221,0.24634063
1222,0.2463521
1223,0.246367
1224,0.2463705
1225,0.24639717
1226,0.24640924
1227,0.24641974
1228,0.24642025
1229,0.2464204
1230,0.24644104
1231,0.24646525
1232,0.24647635
1233,0.24650289
1234,0.2465051
1235,0.24651924
1236,0.2465425
1237,0.24655016
1238,0.24655162
1239,0.24655773
1240,0.24656999
1241,0.24657409
1242,0.24658872
1243,0.24659294
1244,0.24662617
1245,0.24664693
1246,0.24666014
1247,0.24667978
1248,0.2466933
1249,0.24669498
1250,0.24671695
1251,0.24674667
1252,0.24676788
1253,0.24676856
1254,0.24680272
1255,0.24682374
1256,0.2468241
1257,0.24684341
1258,0.24686845
1259,0.24687059
1260,0.24687453
1261,0.24687959
1262,0.24689518
1263,0.24690755
1264,0.24694005
1265,0.24694028
1266,0.24695802
1267,0.24701777
1268,0.24701959
1269,0.24702266
1270,0.24702458
1271,0.24702713
1272,0.24705952
1273,0.24707593
1274,0.24709576
1275,0.24710763
1276,0.24710953
1277,0.24714252
1278,0.2471759
1279,0.24722396
1280,0.24722606
1281,0.24724495
1282,0.24726665
1283,0.24726799
1284,0.24726984
1285,0.24727897
1286,0.24728444
1287,0.24729536
1288,0.24729672
1289,0.24730952
1290,0.247317
1291,0.24731855
1292,0.24733233
1293,0.24738869
1294,0.24739592
1295,0.24743837
1296,0.24744312
1297,0.24744326
1298,0.2474808
1299,0.24748962
1300,0.24750835
1301,0.24751401
1302,0.2475449
1303,0.24755526
1304,0.2475633
1305,0.24756907
1306,0.24758208
1307,0.24758801
1308,0.24758852
1309,0.24760407
1310,0.2476066
1311,0.24763955
1312,0.24765956
1313,0.24766256
1314,0.24766724
1315,0.24767746
1316,0.24769057
1317,0.24769369
1318,0.24769485
1319,0.24770425
1320,0.24774972
1321,0.24775125
1322,0.24777716
1323,0.24778956
1324,0.2478067
1325,0.24780877
1326,0.24781452
1327,0.24782667
1328,0.24785382
1329,0.24785398
1330,0.24785979
1331,0.24786377
1332,0.24786723
1333,0.24788791
1334,0.24789405
1335,0.24794908
1336,0.24795109
1337,0.24797185
1338,0.24798717
1339,0.24799924
1340,0.24800031
1341,0.24805197
1342,0.24807015
1343,0.24808687
1344,0.24811849
1345,0.24812967
1346,0.24814063
1347,0.24814914
1348,0.24817215
1349,0.24819893
1350,0.24820904
1351,0.2482283
1352,0.24826843
1353,0.24827754
1354,0.24833478
1355,0.24834916
1356,0.24836174
1357,0.24836193
1358,0.24840035
1359,0.24842602
1360,0.24843086
1361,0.24843615
1362,0.24844706
1363,0.24845815
1364,0.24848521
1365,0.2484875
1366,0.24855691
1367,0.24856251
1368,0.2485738
1369,0.24858354
1370,0.24860016
1371,0.24860331
1372,0.248609
1373,0.24862565
1374,0.24864988
1375,0.2486518
1376,0.24866383
1377,0.24869454
1378,0.24870174
1379,0.24870238
1380,0.24871136
1381,0.24873076
1382,0.24875326
1383,0.24876785
1384,0.24877822
1385,0.24879043
1386,0.24879088
1387,0.24880606
1388,0.24881396
1389,0.2488196
1390,0.24882072
1391,0.24882296
1392,0.2488313
1393,0.24883418
1394,0.24884473
1395,0.24885671
1396,0.248888
1397,0.24891263
1398,0.24893774
1399,0.24896808
1400,0.2489785
1401,0.24900347
1402,0.24901824
1403,0.24902648
1404,0.24903728
1405,0.24904718
1406,0.24904944
1407,0.24905387
1408,0.24905472
1409,0.249055
1410,0.24907324
1411,0.24908382
1412,0.2490878
1413,0.24909343
1414,0.2491029
1415,0.2491034
1416,0.24911204
1417,0.24912839
1418,0.24915218
1419,0.2491543
1420,0.24917632
1421,0.24919842
1422,0.24920106
1423,0.24920388
1424,0.24921612
1425,0.2492238
1426,0.24923512
1427,0.24925095
1428,0.24926315
1429,0.24927254
1430,0.24928814
1431,0.24929957
1432,0.24937788
1433,0.24939741
1434,0.24940236
1435,0.24940598
1436,0.24941847
1437,0.24943033
1438,0.2494366
1439,0.24944612
1440,0.24944666
1441,0.24945211
1442,0.24945658
1443,0.24948247
1444,0.24949312
1445,0.24951538
1446,0.24951819
1447,0.24954985
1448,0.24955164
1449,0.2495717
1450,0.2495914
1451,0.24959373
1452,0.24960624
1453,0.24960826
1454,0.2496214
1455,0.24962677
1456,0.2496335
1457,0.24964577
1458,0.24964799
1459,0.2496634
1460,0.24966569
1461,0.24967158
1462,0.2496765
1463,0.24968052
1464,0.24969177
1465,0.24969853
1466,0.24970211
1467,0.24971853
1468,0.24972303
1469,0.24973273
1470,0.24973322
1471,0.2497432
1472,0.2498067
1473,0.24981464
1474,0.2498227
1475,0.24984145
1476,0.24986447
1477,0.24988139
1478,0.24988262
1479,0.24990772
1480,0.24991995
1481,0.24992491
1482,0.24993221
1483,0.2499518
1484,0.2499586
1485,0.24997804
1486,0.25001472
1487,0.25003448
1488,0.25005305
1489,0.2500606
1490,0.25009856
1491,0.2501135
1492,0.2501471
1493,0.25017774
1494,0.25018102
1495,0.2501873
1496,0.25019255
1497,0.2502186
1498,0.2502188
1499,0.25021893
1500,0.25022134
1501,0.2502253
1502,0.25022915
1503,0.25023082
1504,0.2502384
1505,0.25026426
1506,0.25026774
1507,0.25026897
1508,0.2502697
1509,0.2503091
1510,0.2503178
1511,0.2503586
1512,0.2503654
1513,0.25038028
1514,0.25039545
1515,0.25039622
1516,0.25042668
1517,0.25043118
1518,0.25044054
1519,0.25049108
1520,0.2505187
1521,0.25052068
1522,0.25052544
1523,0.25053665
1524,0.25055417
1525,0.2505595
1526,0.25057316
1527,0.2505744
1528,0.2505989
1529,0.250603
1530,0.2506054
1531,0.25061625
1532,0.25062084
1533,0.25062507
1534,0.2506253
1535,0.25063893
1536,0.2506396
1537,0.2506624
1538,0.2506782
1539,0.25068477
1540,0.25069204
1541,0.25070414
1542,0.2507123
1543,0.25071257
1544,0.2507499
1545,0.25075588
1546,0.25076064
1547,0.2507694
1548,0.25077206
1549,0.25080258
1550,0.2508279
1551,0.25089243
1552,0.250935
1553,0.2509366
